statecode,ratingarea,age,premiumrate
AL,Rating Area 3,57,301.19
AL,Rating Area 3,58,309.53
AL,Rating Area 3,59,313.61
AL,Rating Area 3,60,320.89
AL,Rating Area 3,61,326.35
AL,Rating Area 3,62,329.61
AL,Rating Area 3,63,333.20
AL,Rating Area 3,64,335.12
AL,Rating Area 3,65,335.90
AL,Rating Area 4,20,67.60
AL,Rating Area 4,21,160.23
AL,Rating Area 4,22,160.23
AL,Rating Area 4,23,160.23
AL,Rating Area 4,24,160.23
AL,Rating Area 4,25,160.61
AL,Rating Area 4,26,162.73
AL,Rating Area 4,27,164.98
AL,Rating Area 4,28,168.62
AL,Rating Area 4,29,171.61
AL,Rating Area 4,30,173.11
AL,Rating Area 4,31,175.35
AL,Rating Area 4,32,177.60
AL,Rating Area 4,33,179.00
AL,Rating Area 4,34,180.50
AL,Rating Area 4,35,181.24
AL,Rating Area 4,36,181.99
AL,Rating Area 4,37,182.74
AL,Rating Area 4,38,183.49
AL,Rating Area 4,39,184.98
AL,Rating Area 4,40,186.48
AL,Rating Area 4,41,188.72
AL,Rating Area 4,42,190.87
AL,Rating Area 4,43,193.86
AL,Rating Area 4,44,197.60
AL,Rating Area 4,45,201.99
AL,Rating Area 4,46,207.23
AL,Rating Area 4,47,213.12
AL,Rating Area 4,48,219.85
AL,Rating Area 4,49,226.49
AL,Rating Area 4,50,233.96
AL,Rating Area 4,51,241.35
AL,Rating Area 4,52,249.48
AL,Rating Area 4,53,257.71
AL,Rating Area 4,54,266.59
AL,Rating Area 4,55,275.84
AL,Rating Area 4,56,285.17
AL,Rating Area 4,57,293.22
AL,Rating Area 4,58,301.22
AL,Rating Area 4,59,305.19
AL,Rating Area 4,60,313.13
AL,Rating Area 4,61,319.24
AL,Rating Area 4,62,322.78
AL,Rating Area 4,63,326.97
AL,Rating Area 4,64,329.30
AL,Rating Area 4,65,330.08
AL,Rating Area 5,20,67.17
AL,Rating Area 5,21,158.78
AL,Rating Area 5,22,158.78
AL,Rating Area 5,23,158.78
AL,Rating Area 5,24,158.78
AL,Rating Area 5,25,159.14
AL,Rating Area 5,26,161.22
AL,Rating Area 5,27,163.43
AL,Rating Area 5,28,167.00
AL,Rating Area 5,29,169.93
AL,Rating Area 5,30,171.39
AL,Rating Area 5,31,173.59
AL,Rating Area 5,32,175.78
AL,Rating Area 5,33,177.16
AL,Rating Area 5,34,178.62
AL,Rating Area 5,35,179.35
AL,Rating Area 5,36,180.09
AL,Rating Area 5,37,180.82
AL,Rating Area 5,38,181.55
AL,Rating Area 5,39,183.01
AL,Rating Area 5,40,184.48
AL,Rating Area 5,41,186.68
AL,Rating Area 5,42,188.78
AL,Rating Area 5,43,191.71
AL,Rating Area 5,44,195.37
AL,Rating Area 5,45,199.67
AL,Rating Area 5,46,204.80
AL,Rating Area 5,47,210.56
AL,Rating Area 5,48,217.15
AL,Rating Area 5,49,223.65
AL,Rating Area 5,50,230.98
AL,Rating Area 5,51,238.21
AL,Rating Area 5,52,246.17
AL,Rating Area 5,53,254.22
AL,Rating Area 5,54,262.92
AL,Rating Area 5,55,271.98
AL,Rating Area 5,56,281.41
AL,Rating Area 5,57,289.94
AL,Rating Area 5,58,297.88
AL,Rating Area 5,59,301.77
AL,Rating Area 5,60,309.61
AL,Rating Area 5,61,316.12
AL,Rating Area 5,62,319.91
AL,Rating Area 5,63,324.21
AL,Rating Area 5,64,326.74
AL,Rating Area 5,65,327.52
AL,Rating Area 6,20,67.65
AL,Rating Area 6,21,160.23
AL,Rating Area 6,22,160.23
AL,Rating Area 6,23,160.23
AL,Rating Area 6,24,160.23
AL,Rating Area 6,25,160.61
AL,Rating Area 6,26,162.73
AL,Rating Area 6,27,164.98
AL,Rating Area 6,28,168.62
AL,Rating Area 6,29,171.61
AL,Rating Area 6,30,173.11
AL,Rating Area 6,31,175.35
AL,Rating Area 6,32,177.60
AL,Rating Area 6,33,179.00
AL,Rating Area 6,34,180.50
AL,Rating Area 6,35,181.24
AL,Rating Area 6,36,181.99
AL,Rating Area 6,37,182.74
AL,Rating Area 6,38,183.49
AL,Rating Area 6,39,184.98
AL,Rating Area 6,40,186.48
AL,Rating Area 6,41,188.72
AL,Rating Area 6,42,190.87
AL,Rating Area 6,43,193.86
AL,Rating Area 6,44,197.60
AL,Rating Area 6,45,201.99
AL,Rating Area 6,46,207.23
AL,Rating Area 6,47,213.12
AL,Rating Area 6,48,219.85
AL,Rating Area 6,49,226.49
AL,Rating Area 6,50,233.96
AL,Rating Area 6,51,241.35
AL,Rating Area 6,52,249.48
AL,Rating Area 6,53,257.71
AL,Rating Area 6,54,266.59
AL,Rating Area 6,55,275.84
AL,Rating Area 6,56,285.17
AL,Rating Area 6,57,293.22
AL,Rating Area 6,58,301.22
AL,Rating Area 6,59,305.19
AL,Rating Area 6,60,313.13
AL,Rating Area 6,61,319.24
AL,Rating Area 6,62,322.78
AL,Rating Area 6,63,326.97
AL,Rating Area 6,64,329.30
AL,Rating Area 6,65,330.08
AL,Rating Area 7,20,63.50
AL,Rating Area 7,21,151.96
AL,Rating Area 7,22,151.96
AL,Rating Area 7,23,151.96
AL,Rating Area 7,24,151.96
AL,Rating Area 7,25,152.30
AL,Rating Area 7,26,154.24
AL,Rating Area 7,27,156.28
AL,Rating Area 7,28,159.59
AL,Rating Area 7,29,162.30
AL,Rating Area 7,30,163.65
AL,Rating Area 7,31,165.69
AL,Rating Area 7,32,167.72
AL,Rating Area 7,33,168.99
AL,Rating Area 7,34,170.35
AL,Rating Area 7,35,171.02
AL,Rating Area 7,36,171.70
AL,Rating Area 7,37,172.38
AL,Rating Area 7,38,173.06
AL,Rating Area 7,39,174.41
AL,Rating Area 7,40,175.77
AL,Rating Area 7,41,177.80
AL,Rating Area 7,42,179.75
AL,Rating Area 7,43,182.46
AL,Rating Area 7,44,185.85
AL,Rating Area 7,45,189.83
AL,Rating Area 7,46,194.57
AL,Rating Area 7,47,199.91
AL,Rating Area 7,48,206.01
AL,Rating Area 7,49,212.03
AL,Rating Area 7,50,218.80
AL,Rating Area 7,51,225.49
AL,Rating Area 7,52,232.86
AL,Rating Area 7,53,240.32
AL,Rating Area 7,54,248.37
AL,Rating Area 7,55,256.78
AL,Rating Area 7,56,265.51
AL,Rating Area 7,57,274.32
AL,Rating Area 7,58,283.60
AL,Rating Area 7,59,287.80
AL,Rating Area 7,60,295.33
AL,Rating Area 7,61,301.61
AL,Rating Area 7,62,305.73
AL,Rating Area 7,63,310.90
AL,Rating Area 7,64,313.94
AL,Rating Area 7,65,314.72
AL,Rating Area 8,20,66.69
AL,Rating Area 8,21,158.74
AL,Rating Area 8,22,158.74
AL,Rating Area 8,23,158.74
AL,Rating Area 8,24,158.74
AL,Rating Area 8,25,159.11
AL,Rating Area 8,26,161.19
AL,Rating Area 8,27,163.39
AL,Rating Area 8,28,166.96
AL,Rating Area 8,29,169.89
AL,Rating Area 8,30,171.35
AL,Rating Area 8,31,173.55
AL,Rating Area 8,32,175.75
AL,Rating Area 8,33,177.12
AL,Rating Area 8,34,178.58
AL,Rating Area 8,35,179.31
AL,Rating Area 8,36,180.05
AL,Rating Area 8,37,180.78
AL,Rating Area 8,38,181.51
AL,Rating Area 8,39,182.98
AL,Rating Area 8,40,184.44
AL,Rating Area 8,41,186.64
AL,Rating Area 8,42,188.74
AL,Rating Area 8,43,191.67
AL,Rating Area 8,44,195.33
AL,Rating Area 8,45,199.63
AL,Rating Area 8,46,204.76
AL,Rating Area 8,47,210.53
AL,Rating Area 8,48,217.12
AL,Rating Area 8,49,223.62
AL,Rating Area 8,50,230.94
AL,Rating Area 8,51,238.17
AL,Rating Area 8,52,246.13
AL,Rating Area 8,53,254.19
AL,Rating Area 8,54,262.88
AL,Rating Area 8,55,271.95
AL,Rating Area 8,56,281.37
AL,Rating Area 8,57,289.91
AL,Rating Area 8,58,297.85
AL,Rating Area 8,59,301.73
AL,Rating Area 8,60,309.57
AL,Rating Area 8,61,316.09
AL,Rating Area 8,62,319.88
AL,Rating Area 8,63,324.18
AL,Rating Area 8,64,326.70
AL,Rating Area 8,65,327.48
AL,Rating Area 9,20,71.51
AL,Rating Area 9,21,167.19
AL,Rating Area 9,22,167.19
AL,Rating Area 9,23,167.19
AL,Rating Area 9,24,167.19
AL,Rating Area 9,25,167.59
AL,Rating Area 9,26,169.84
AL,Rating Area 9,27,172.24
AL,Rating Area 9,28,176.13
AL,Rating Area 9,29,179.33
AL,Rating Area 9,30,180.92
AL,Rating Area 9,31,183.32
AL,Rating Area 9,32,185.71
AL,Rating Area 9,33,187.21
AL,Rating Area 9,34,188.81
AL,Rating Area 9,35,189.61
AL,Rating Area 9,36,190.40
AL,Rating Area 9,37,191.20
AL,Rating Area 9,38,192.00
AL,Rating Area 9,39,193.60
AL,Rating Area 9,40,195.19
AL,Rating Area 9,41,197.59
AL,Rating Area 9,42,199.89
AL,Rating Area 9,43,203.08
AL,Rating Area 9,44,207.07
AL,Rating Area 9,45,211.76
AL,Rating Area 9,46,217.35
AL,Rating Area 9,47,223.64
AL,Rating Area 9,48,230.83
AL,Rating Area 9,49,237.91
AL,Rating Area 9,50,245.90
AL,Rating Area 9,51,253.78
AL,Rating Area 9,52,262.46
AL,Rating Area 9,53,271.25
AL,Rating Area 9,54,280.73
AL,Rating Area 9,55,289.68
AL,Rating Area 9,56,297.74
AL,Rating Area 9,57,305.75
AL,Rating Area 9,58,314.20
AL,Rating Area 9,59,318.01
AL,Rating Area 9,60,324.75
AL,Rating Area 9,61,329.94
AL,Rating Area 9,62,332.87
AL,Rating Area 9,63,336.11
AL,Rating Area 9,64,338.03
AL,Rating Area 9,65,338.81
AR,Rating Area 1,20,73.23
AR,Rating Area 1,21,109.93
AR,Rating Area 1,22,109.93
AR,Rating Area 1,23,109.93
AR,Rating Area 1,24,109.93
AR,Rating Area 1,25,110.29
AR,Rating Area 1,26,104.34
AR,Rating Area 1,27,114.59
AR,Rating Area 1,28,109.64
AR,Rating Area 1,29,121.13
AR,Rating Area 1,30,122.60
AR,Rating Area 1,31,124.81
AR,Rating Area 1,32,127.02
AR,Rating Area 1,33,128.40
AR,Rating Area 1,34,119.13
AR,Rating Area 1,35,130.61
AR,Rating Area 1,36,131.34
AR,Rating Area 1,37,132.08
AR,Rating Area 1,38,132.82
AR,Rating Area 1,39,134.29
AR,Rating Area 1,40,136.08
AR,Rating Area 1,41,138.29
AR,Rating Area 1,42,140.41
AR,Rating Area 1,43,143.36
AR,Rating Area 1,44,147.04
AR,Rating Area 1,45,151.36
AR,Rating Area 1,46,156.52
AR,Rating Area 1,47,162.32
AR,Rating Area 1,48,168.94
AR,Rating Area 1,49,175.48
AR,Rating Area 1,50,182.84
AR,Rating Area 1,51,190.11
AR,Rating Area 1,52,198.12
AR,Rating Area 1,53,206.22
AR,Rating Area 1,54,214.96
AR,Rating Area 1,55,224.74
AR,Rating Area 1,56,234.22
AR,Rating Area 1,57,243.80
AR,Rating Area 1,58,254.01
AR,Rating Area 1,59,259.08
AR,Rating Area 1,60,269.29
AR,Rating Area 1,61,277.59
AR,Rating Area 1,62,282.18
AR,Rating Area 1,63,287.95
AR,Rating Area 1,64,291.21
AR,Rating Area 1,65,291.99
AR,Rating Area 2,20,69.05
AR,Rating Area 2,21,103.11
AR,Rating Area 2,22,103.11
AR,Rating Area 2,23,103.11
AR,Rating Area 2,24,103.11
AR,Rating Area 2,25,103.45
AR,Rating Area 2,26,105.41
AR,Rating Area 2,27,98.25
AR,Rating Area 2,28,110.82
AR,Rating Area 2,29,113.56
AR,Rating Area 2,30,114.93
AR,Rating Area 2,31,116.99
AR,Rating Area 2,32,119.05
AR,Rating Area 2,33,110.46
AR,Rating Area 2,34,121.71
AR,Rating Area 2,35,122.39
AR,Rating Area 2,36,123.08
AR,Rating Area 2,37,123.76
AR,Rating Area 2,38,124.45
AR,Rating Area 2,39,125.82
AR,Rating Area 2,40,127.49
AR,Rating Area 2,41,129.55
AR,Rating Area 2,42,131.52
AR,Rating Area 2,43,134.26
AR,Rating Area 2,44,137.69
AR,Rating Area 2,45,141.72
AR,Rating Area 2,46,146.52
AR,Rating Area 2,47,151.93
AR,Rating Area 2,48,158.10
AR,Rating Area 2,49,164.19
AR,Rating Area 2,50,171.05
AR,Rating Area 2,51,177.82
AR,Rating Area 2,52,185.28
AR,Rating Area 2,53,192.83
AR,Rating Area 2,54,200.97
AR,Rating Area 2,55,210.09
AR,Rating Area 2,56,218.92
AR,Rating Area 2,57,227.84
AR,Rating Area 2,58,237.35
